destination,date,duration,t0,t1,t2,depart,arrive,notes
home,5/9/18,54,6,4,3,18:31,19:25,
work,5/10/18,45,2,4,6,8:39,9:24,
home,5/10/18,49,6,4,3,19:12,20:01,
work,5/11/18,49,2,5,6,8:38,9:27,
work,5/14/18,60,3,5,6,8:34,9:34,
work,5/15/18,54,2,4,6,8:35,9:29,
home,5/15/18,56,W,Q,,20:16,21:12,
work,5/16/18,53,3,4,6,8:25,9:18,
home,5/16/18,52,R,Q,,18:13,19:05,
work,5/17/18,51,3,5,6,8:31,9:22,
work,5/18/18,51,3,5,6,8:30,9:21,
home,5/18/18,55,R,Q,,17:31,18:26,
work,5/21/18,53,3,5,6,8:32,9:25,
home,5/21/18,52,R,Q,,18:56,19:48,
work,5/22/18,47,2,5,6,8:30,9:17,
work,5/23/18,54,3,5,6,8:35,9:29,
home,5/23/18,49,N,R,,19:08,19:57,
work,5/24/18,50,3,5,6,8:32,9:22,
home,5/24/18,55,W,Q,,19:09,20:04,
work,5/25/18,45,2,5,6,8:30,9:15,
